,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,0,0,λυ,False,False,False,,,False
2,phrase_line,d,o2,2,τή,True,False,False,,,False
3,phrase_line,d,0,0,ρι,False,False,False,,,False
4,phrase_line,d,0,0,ον,False,False,True,,,False
5,phrase_line,d,oo0,0,κά,True,False,False,psr,,False
6,phrase_line,c,a,-1,θαρ,False,False,False,klr,,False
7,phrase_line,b,a,-1,σιν,False,False,True,,,True
8,phrase_line,b,0,0,α,False,False,False,,,False
9,phrase_line,c,o,1,μπλα,False,True,False,"g,is,l,v","l,v",False
10,phrase_line,b,a,-1,-,False,True,False,"l,v",l,False
11,phrase_line,c,p,1,-,False,False,False,"klr,l",,False
12,phrase_line,a,a2,-2,κη,False,False,False,,,False
13,phrase_line,c,p2,2,μά,True,False,False,"g,l",l,False
14,phrase_line,b,a,-1,των,False,False,True,"ap,l",,True
15,phrase_line,b,0,0,πυ,False,False,False,,,False
16,phrase_line,d,o2,2,ρί,True,False,False,,,False
17,phrase_line,d,p0,0,πνο,False,False,False,"anr,g,is",,False
18,phrase_line,c,a,-1,ον,False,True,True,v,v,False
19,phrase_line,b,a,-1,-,False,False,True,v,,False
20,phrase_line,c,oo,1,δέ,True,False,False,psr,,False
21,phrase_line,b,a,-1,ξα,False,False,False,klr,,False
22,phrase_line,a,aa,-1,σθε,False,False,True,,,True
23,phrase_line,c,oo2,2,πνεύ,True,False,False,psr,,False
24,phrase_line,b,a,-1,μα,False,False,False,,,False
25,phrase_line,a,a,-1,τος,False,False,True,kl,,False
26,phrase_line,F,a2,-2,δρό,True,True,False,,,False
27,phrase_line,"G,a",kkoo,"1,1",-,True,False,False,"g,l",l,False
28,phrase_line,a,0,0,σον,False,False,True,"ap,l",,True
29,martyria,a,,,,,,,,,True
30,phrase_line,D,a4,-4,ώ,True,False,True,,,False
31,phrase_line,a,o4,4,τέ,True,False,False,,,False
32,phrase_line,b,o,1,κνα,False,False,True,g,,False
33,phrase_line,c,o,1,φω,False,False,False,,,False
34,phrase_line,d,oo,1,τό,True,False,False,,,False
35,phrase_line,c,a,-1,μορ,False,False,False,klr,klr,False
36,phrase_line,b,a,-1,φα,False,False,True,klr,,True
37,phrase_line,d,o2,2,τής,True,False,True,,,False
38,phrase_line,d,oo0,0,εκ,False,False,False,psr,,False
39,phrase_line,c,a,-1,κλη,False,False,False,kl,kl,False
40,phrase_line,a,a2,-2,σί,True,True,False,kl,,False
41,phrase_line,"b,c",kkoo,"1,1",-,True,False,False,"g,l",,False
42,phrase_line,b,a,-1,ας,False,False,True,ap,,True
43,phrase_line,d,o2,2,νυν,False,False,True,,,False
44,phrase_line,e,p,1,εκ,False,False,True,,,False
45,phrase_line,d,a,-1,σι,False,False,False,,,False
46,phrase_line,f,oo2,2,ών,True,False,True,,,False
47,phrase_line,d,a2,-2,γάρ,True,False,True,,,True
48,phrase_line,b,a2,-2,ε,False,False,False,,,False
49,phrase_line,d,p2,2,ξε,False,False,False,,,False
50,phrase_line,c,a,-1,λή,True,False,False,v,,False
51,phrase_line,b,a,-1,λυ,False,True,False,,,False
52,phrase_line,c,p,1,-,False,False,False,,,False
53,phrase_line,a,a2,-2,θεν,False,False,True,,,False
54,phrase_line,c,p2,2,νό,True,False,False,,,False
55,phrase_line,b,a,-1,μος,False,False,True,ap,,True
56,phrase_line,a,a,-1,η,False,False,True,,,False
57,phrase_line,a,0,0,γλωσ,False,False,False,"g,is",,False
58,phrase_line,b,o,1,σο,False,False,False,,,False
59,phrase_line,c,o,1,πυρ,False,False,False,,,False
60,phrase_line,e,oo2,2,σό,True,False,False,psr,,False
61,phrase_line,d,a,-1,μορ,False,False,False,kl,,False
62,phrase_line,b,a2,-2,φος,False,False,True,,,True
63,phrase_line,d,o2,2,πνεύ,True,False,False,"g,is",,False
64,phrase_line,d,p0,0,μα,False,False,False,psr,,False
65,phrase_line,c,a,-1,τος,False,False,True,kl,,False
66,phrase_line,a,a2,-2,χά,True,True,False,,,False
67,phrase_line,"b,c",kkoo,"1,1",-,True,True,False,l,l,False
68,phrase_line,b,a,-1,-,True,False,False,"g,l",l,False
69,phrase_line,b,0,0,ρις,False,False,True,"ap,l",,True
